k,s,s_numeric,s_tags
2,0.45246650505256664,0.8123370134464271,0.671610617937889
3,0.5955561467765474,0.6809256371035554,0.5549818587208936
4,0.6393798389076412,0.6897253448354936,0.6816035001625059
5,0.7087798518529943,0.6591949295905497,0.7779701600562082
6,0.6448874944945341,0.6181635619835586,0.8107025979302246
7,0.6507056238085837,0.5457533908155177,0.7460670474815831
8,0.6312165693825896,0.5413728097851316,0.7551019880521089
9,0.636959477581247,0.5632594724762187,0.7719775663793914
10,0.660157884486337,0.5179081682588956,0.7836274303624653
